date,city,market,mom_pct,yoy_pct,ytd_avg_pct,source_url
2026-08-31,安庆,second_hand,-0.3,-4.2,-5.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,宜昌,new,-0.1,-1.1,-0.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,宜昌,second_hand,-0.2,-3.7,-4.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,岳阳,new,-0.3,-5.0,-4.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,岳阳,second_hand,-0.5,-6.0,-6.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,常德,new,-0.4,-5.8,-5.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,常德,second_hand,-0.5,-6.8,-7.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,平顶山,new,-0.4,-3.1,-2.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,平顶山,second_hand,-0.3,-7.4,-7.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,广州,new,0.1,-1.9,-3.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,广州,second_hand,0.0,-3.8,-6.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,徐州,new,0.3,-3.2,-4.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,徐州,second_hand,-0.2,-4.0,-7.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,惠州,new,0.2,-3.8,-4.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,惠州,second_hand,-0.1,-5.2,-6.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,成都,new,-0.1,-5.0,-4.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,成都,second_hand,-0.4,-5.8,-5.9,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,扬州,new,-0.4,-3.6,-4.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,扬州,second_hand,0.2,-7.1,-7.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,无锡,new,0.4,-2.6,-4.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,无锡,second_hand,-0.1,-3.9,-5.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,昆明,new,-0.1,-5.2,-5.9,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,昆明,second_hand,-0.4,-6.9,-7.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,杭州,new,0.2,2.2,2.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,杭州,second_hand,-0.2,-3.5,-4.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,桂林,new,-0.3,-5.8,-5.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,桂林,second_hand,-0.3,-6.5,-7.0,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,武汉,new,-0.1,-1.7,-3.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,武汉,second_hand,-0.2,-6.3,-8.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,沈阳,new,0.2,0.3,-0.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,沈阳,second_hand,0.0,-0.9,-2.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,泉州,new,-0.2,-3.7,-3.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,泉州,second_hand,-0.5,-4.4,-4.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,泸州,new,-0.6,-7.7,-7.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,泸州,second_hand,-0.6,-9.0,-8.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,洛阳,new,-0.6,-6.3,-5.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,洛阳,second_hand,-0.7,-6.2,-5.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,济南,new,-0.2,-3.3,-3.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,济南,second_hand,-0.6,-5.2,-5.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,济宁,new,-0.1,-3.7,-4.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,济宁,second_hand,-0.4,-5.0,-6.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,海口,new,-0.8,-5.1,-5.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,海口,second_hand,-1.0,-7.3,-6.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,深圳,new,0.2,-2.3,-4.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,深圳,second_hand,0.1,-2.7,-5.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,温州,new,-0.3,-3.8,-4.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,温州,second_hand,-0.2,-5.3,-6.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,湛江,new,-0.2,-5.3,-4.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,湛江,second_hand,-0.7,-6.4,-5.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,烟台,new,-0.1,-2.4,-3.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,烟台,second_hand,-0.2,-4.9,-6.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,牡丹江,new,-0.3,-2.1,-1.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,牡丹江,second_hand,-0.2,-2.8,-2.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,石家庄,new,-0.6,-4.3,-4.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,石家庄,second_hand,-0.3,-4.9,-5.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,福州,new,0.0,-5.3,-4.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,福州,second_hand,-0.2,-4.8,-5.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,秦皇岛,new,-0.5,-5.1,-5.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,秦皇岛,second_hand,-0.5,-7.1,-7.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,蚌埠,new,-0.2,-3.4,-3.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,蚌埠,second_hand,-0.4,-4.2,-4.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,襄阳,new,-0.3,-5.4,-5.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,襄阳,second_hand,-0.4,-6.7,-7.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,西宁,new,-0.2,-4.8,-3.9,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,西宁,second_hand,-0.4,-2.9,-2.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,西安,new,-0.4,-5.4,-5.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,西安,second_hand,-0.3,-6.0,-7.9,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,贵阳,new,-0.4,-3.3,-3.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,贵阳,second_hand,-0.5,-5.2,-5.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,赣州,new,-0.3,-4.2,-4.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,赣州,second_hand,-0.6,-6.3,-6.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,遵义,new,-0.2,-4.0,-3.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,遵义,second_hand,-0.3,-5.5,-5.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,郑州,new,-0.4,-4.9,-5.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,郑州,second_hand,-0.3,-5.3,-7.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,重庆,new,0.0,-3.1,-4.0,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,重庆,second_hand,-0.4,-4.1,-5.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,金华,new,-0.2,-4.3,-4.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,金华,second_hand,-0.3,-5.3,-5.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,银川,new,0.1,-1.3,-2.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,银川,second_hand,-0.2,-5.6,-6.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,锦州,new,-0.1,-2.7,-2.9,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,锦州,second_hand,-0.3,-2.9,-3.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,长春,new,-0.4,-0.9,-1.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,长春,second_hand,-0.4,-3.8,-4.0,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,长沙,new,0.0,-4.1,-3.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,长沙,second_hand,-0.2,-6.0,-7.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,青岛,new,0.0,-1.6,-2.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,青岛,second_hand,-0.2,-5.4,-6.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,韶关,new,-0.3,-3.6,-2.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
2026-08-31,韶关,second_hand,-0.4,-6.0,-5.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
