period_end,period,scope_type,scope,job,salary_wan_month,source,source_url
2025-12-31,2025Q4,region,长三角,电气工程师,1.10,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,长三角,硬件工程师,1.83,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,长三角,硬件测试工程师,0.97,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,长三角,算法工程师,2.37,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,长三角,网络工程师,1.04,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,长三角,自动化工程师,1.00,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,长三角,设备维护工程师,0.95,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,长三角,运维工程师,0.98,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2026-03-31,2026Q1,region,京津冀,C#开发工程师,1.50,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,C/C++开发工程师,2.06,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,Java开发工程师,1.81,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,Python开发工程师,1.64,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,产品经理,1.69,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,前端开发工程师,1.44,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,国内电商运营,0.87,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,嵌入式软件开发工程师,1.72,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,数据开发工程师,1.38,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,新媒体运营,0.82,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
2026-03-31,2026Q1,region,京津冀,电气工程师,1.12,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260515/45341.html
